,group,variable,value
0,1,Balboa Park,0.6115067727970954
1,1,East Village,0.580969689102356
2,1,Gaslamp Quarter,0.5903332268710743
3,1,La Jolla,0.45022417966115147
4,1,Loma Portal,0.5586780130615476
5,1,Midtown,0.5919886565047855
6,1,Mission Bay,0.4375526344696276
7,1,North Hills,0.6719475726919896
8,1,Ocean Beach,0.5538849929873773
9,1,Pacific Beach,0.5005813760340188
10,2,Balboa Park,0.62291280148423
11,2,East Village,0.5783271054900834
12,2,Gaslamp Quarter,0.588991041961339
13,2,La Jolla,0.4829555438411527
14,2,Loma Portal,0.5602541630148992
15,2,Midtown,0.5854788069073783
16,2,Mission Bay,0.45297551483703585
17,2,North Hills,0.6732178078331924
18,2,Ocean Beach,0.5633540372670808
19,2,Pacific Beach,0.5005149330587023
20,3,Balboa Park,0.6418098031001257
21,3,East Village,0.5799908990443997
22,3,Gaslamp Quarter,0.5953369530501437
23,3,La Jolla,0.5309931302863042
24,3,Loma Portal,0.6068071633521321
25,3,Midtown,0.6164315588005954
26,3,Mission Bay,0.5116722248689852
27,3,North Hills,0.696506966978431
28,3,Ocean Beach,0.5974535868528802
29,3,Pacific Beach,0.5478887744593203
30,4,Balboa Park,0.42294372294372296
31,4,East Village,0.4194500335345406
32,4,Gaslamp Quarter,0.33641364136413643
33,4,La Jolla,0.4775317753177532
34,4,Loma Portal,0.5405930470347649
35,4,Midtown,0.47626373626373625
36,4,Mission Bay,0.4809496783957624
37,4,North Hills,0.5166995397764629
38,4,Ocean Beach,0.45362318840579713
39,4,Pacific Beach,0.4784071404050807
40,5,Balboa Park,0.2623935204580366
41,5,East Village,0.26487960018173556
42,5,Gaslamp Quarter,0.23677206430320452
43,5,La Jolla,0.34654604610562234
44,5,Loma Portal,0.39323174351870177
45,5,Midtown,0.3293158454448777
46,5,Mission Bay,0.3493098019113178
47,5,North Hills,0.3344785900617166
48,5,Ocean Beach,0.3096774193548387
49,5,Pacific Beach,0.3593236105112787
50,6,Balboa Park,0.29365079365079366
51,6,East Village,0.2574782025486251
52,6,Gaslamp Quarter,0.2513751375137514
53,6,La Jolla,0.34838048380483805
54,6,Loma Portal,0.37955010224948876
55,6,Midtown,0.3354578754578755
56,6,Mission Bay,0.37843359818388195
57,6,North Hills,0.3193293885601578
58,6,Ocean Beach,0.3293333333333333
59,6,Pacific Beach,0.37404737384140063
60,7,Balboa Park,0.35651445328864684
61,7,East Village,0.3952099694943857
62,7,Gaslamp Quarter,0.3320557862237837
63,7,La Jolla,0.43161528389477444
64,7,Loma Portal,0.44003562240253313
65,7,Midtown,0.45168380007089687
66,7,Mission Bay,0.48451173519827173
67,7,North Hills,0.4229178596424254
68,7,Ocean Beach,0.4467882187938289
69,7,Pacific Beach,0.45197833959004685
70,8,Balboa Park,0.2816645719871526
71,8,East Village,0.3138183942363861
72,8,Gaslamp Quarter,0.26030022357074417
73,8,La Jolla,0.33682498115303733
74,8,Loma Portal,0.33613694834751634
75,8,Midtown,0.36724565756823824
76,8,Mission Bay,0.31686866097909266
77,8,North Hills,0.3364509766494878
78,8,Ocean Beach,0.37626928471248244
79,8,Pacific Beach,0.3359024617122355
80,9,Balboa Park,0.3243867243867244
81,9,East Village,0.34634473507712943
82,9,Gaslamp Quarter,0.3055005500550055
83,9,La Jolla,0.2848708487084871
84,9,Loma Portal,0.33220858895705524
85,9,Midtown,0.40102564102564103
86,9,Mission Bay,0.2951570185395384
87,9,North Hills,0.3765285996055227
88,9,Ocean Beach,0.3839420289855072
89,9,Pacific Beach,0.30034328870580157
90,10,Balboa Park,0.42242703533026116
91,10,East Village,0.39929901992600764
92,10,Gaslamp Quarter,0.3349302672202704
93,10,La Jolla,0.32849263976510734
94,10,Loma Portal,0.4159905006926578
95,10,Midtown,0.48245303084012764
96,10,Mission Bay,0.3267181721650617
97,10,North Hills,0.5132658904371064
98,10,Ocean Beach,0.4171669004207574
99,10,Pacific Beach,0.34998837247931963
100,11,Balboa Park,0.44343434343434346
101,11,East Village,0.39966465459423206
102,11,Gaslamp Quarter,0.3616061606160616
103,11,La Jolla,0.31832718327183274
104,11,Loma Portal,0.418200408997955
105,11,Midtown,0.4860805860805861
106,11,Mission Bay,0.30675368898978433
107,11,North Hills,0.5194608809993425
108,11,Ocean Beach,0.4226086956521739
109,11,Pacific Beach,0.34884998283556473
110,12,Balboa Park,0.48610529255690543
111,12,East Village,0.4653728824560265
112,12,Gaslamp Quarter,0.4692856382412435
113,12,La Jolla,0.3507915724318533
114,12,Loma Portal,0.46793983772016623
115,12,Midtown,0.5085430698333924
116,12,Mission Bay,0.33570722419537913
117,12,North Hills,0.573010116434434
118,12,Ocean Beach,0.46019635343618515
119,12,Pacific Beach,0.38739576758247235
