id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
36520775,"Casita, Apartment Suite, with private entrance",26696930,Val Anthony,,Eastlake Vistas,32.63923,-116.93934,Private room,136,30,9,2022-08-08,0.20,3,180,0,
8953293,Pacific Beach Luxury Townhome,46795717,Hector,,Pacific Beach,32.79899,-117.24962,Entire home/apt,292,4,172,2024-02-19,1.69,1,53,10,"STR-03497L, 617386"
906879006049059257,Massive Oceanview 6BR/6BA Sleeps 30+Rooftop Deck,348089487,Kyle,,Mission Bay,32.7724036,-117.2525223,Entire home/apt,3086,3,1,2023-09-24,0.16,20,361,1,"STR-04645L, 645571"
35603941,1 Bedroom living rental,68425727,Moe,,City Heights East,32.75605,-117.0821,Private room,40,31,25,2022-12-08,0.43,2,336,0,
714055687048273247,SD Lux Home/ Hot tub/ 360 Panoramic views/6 Beds!,365311111,Nataly,,Mission Bay,32.57536,-117.05181,Entire home/apt,387,2,45,2024-03-03,2.46,1,334,38,"STR-00071L, 643894"
19205505,"Mission Beach Bayside Retreat- Sun, sand, surf",26843232,Nick,,Mission Bay,32.78564,-117.2537,Entire home/apt,385,3,94,2023-12-31,1.48,1,255,17,"STR-02564L, 518986"
898007076323873292,Charming Room Downtown Chula,20239832,Luis,,Northwest,32.64587,-117.07987,Private room,55,30,3,2023-11-06,0.38,2,358,3,
913023668973496768,Room w/ private entrance near SDSU!,19443920,Jonathan,,El Cerritos,32.756231278213406,-117.07124540076802,Private room,45,2,1,2023-07-13,0.12,1,364,1,"STR-01766L, 637630"
52603217,"Lovely 2 bedroom house, 1 block from the beach!",393365002,Rodrigo,,Ocean Beach,32.73993,-117.25217,Private room,170,31,0,,,1,365,0,
1085186954524801306,"Beautiful, spacious townhome",21344072,Issa,,El Cerritos,32.7512,-117.07805,Private room,48,32,0,,,1,267,0,
