,neighbourhood,id
0,Mission Bay,1762
1,Pacific Beach,971
2,La Jolla,813
3,Ocean Beach,575
4,North Hills,507
5,East Village,497
6,Midtown,455
7,Loma Portal,326
8,Gaslamp Quarter,303
9,Balboa Park,231
10,Old Town,212
11,Mira Mesa,197
12,Park West,186
13,Bay Park,183
14,Little Italy,176
15,City Heights West,169
16,University City,168
17,Clairemont Mesa,163
18,Normal Heights,161
19,West University Heights,159
20,Grant Hill,153
21,Core,131
22,Linda Vista,129
23,Cortez Hill,125
24,Northwest,120
25,Serra Mesa,114
26,Moreno Mission,113
27,Carmel Valley,110
28,North Clairemont,101
29,Bay Ho,100
30,Rancho Penasquitos,98
31,Roseville,97
32,South Park,91
33,College Area,91
34,Marina,80
35,City Heights East,75
36,Otay Ranch,67
37,Memorial,67
38,Del Mar Heights,66
39,San Carlos,65
40,Wooded Area,58
41,Encanto,52
42,Southwest,51
43,Grantville,50
44,Rancho Bernadino,46
45,Rolando,44
46,Mission Valley,44
47,La Jolla Village,44
48,Kensington,44
49,Midtown District,42
50,Mount Hope,39
51,Talmadge,38
52,Lake Murray,37
53,Scripps Ranch,35
54,Darnall,34
55,Mountain View,31
56,Paradise Hills,30
57,Southcrest,27
58,Valencia Park,26
59,Columbia,26
60,Del Cerro,25
61,Oak Park,25
62,North City,24
63,Torrey Pines,21
64,Webster,21
65,Gateway,19
66,Jomacha-Lomita,19
67,Chollas View,18
68,Bird Land,18
69,Bay Terrace,18
70,Allied Gardens,17
71,El Cerritos,17
72,Bario Logan,17
73,Emerald Hills,17
74,Egger Highlands,16
75,Sky Line,16
76,San Ysidro,16
77,Alta Vista,16
78,Kearny Mesa,15
79,Carmel Mountain,14
80,Tierrasanta,13
81,Sabre Springs,12
82,Sorrento Valley,12
83,Eastlake Vistas,12
84,Rancho Del Rey,9
85,Sunbow,9
86,Nestor,8
87,Lynwood Hills,7
88,Rolling Hills Ranch,6
89,Bonita Long Canyon,6
90,Terra Nova,5
91,East Lake,4
92,Palm City,4
93,Paseo Ranchoero,4
94,Lincoln Park,3
95,Amphitheater And Water Park,2
96,Yosemite Dr,2
97,Tijuana River Valley,1
98,Eastlake Trails,1
99,Eastlake Woods,1
100,Estlake Greens,1
